feature,importance,normalized_importance,cumulative_importance
Ec_Ep_kl_div,172.35000000000008,0.14416562107904649,0.14416562107904649
Ec_Ep_cos_sim,130.72000000000003,0.10934337097448768,0.25350899205353417
Ec_Er_cos_sim,98.34999999999998,0.08226683396068589,0.33577582601422007
Ec_Er_kl_div,96.97999999999999,0.08112086992890004,0.4168966959431201
Ec_Ep_earth_mover_dist,96.15,0.08042659974905897,0.4973232956921791
hc_hp_earth_mover_dist,93.05999999999996,0.0778419071518193,0.5751652028439984
hc_hr_cos_sim,88.95000000000002,0.07440401505646174,0.6495692179004602
hc_hr_kl_div,88.80000000000001,0.07427854454203263,0.7238477624424928
Ec_Er_earth_mover_dist,86.31999999999998,0.07220409870347133,0.7960518611459642
hc_hr_earth_mover_dist,84.46999999999996,0.0706566290255123,0.8667084901714764
hc_hp_cos_sim,82.15999999999997,0.06872438310330403,0.9354328732747805
hc_hp_kl_div,77.19000000000003,0.0645671267252196,1.0000000000000002
